id,movie_id,keyword_id
0,19995,1463
1,19995,2964
2,19995,3386
3,19995,3388
4,19995,3679
5,19995,3801
6,19995,9685
7,19995,9840
8,19995,9882
9,19995,9951
10,19995,10148
11,19995,10158
12,19995,10987
13,19995,11399
14,19995,13065
15,19995,14643
16,19995,14720
17,19995,165431
18,19995,193554
19,19995,206690
20,19995,209714
21,285,270
22,285,726
23,285,911
24,285,1319
25,285,2038
26,285,2052
27,285,2580
28,285,2660
29,285,3799
30,285,5740
31,285,5941
32,285,6155
33,285,6211
34,285,12988
35,285,157186
36,285,179430
37,206647,470
38,206647,818
39,206647,4289
40,206647,9663
41,206647,14555
42,206647,156095
43,206647,158431
44,49026,849
45,49026,853
46,49026,949
47,49026,1308
48,49026,1437
49,49026,3051
50,49026,3562
51,49026,6969
52,49026,7002
53,49026,9665
54,49026,9715
55,49026,9990
56,49026,10044
57,49026,13015
58,49026,14796
59,49026,18933
60,49026,156082
61,49026,156395
62,49026,173272
63,49026,179093
64,49026,230775
65,49529,818
66,49529,839
67,49529,1456
68,49529,3801
69,49529,7376
70,49529,9951
71,49529,10028
72,49529,10539
73,49529,10685
74,49529,161511
75,49529,163252
76,49529,179102
77,49529,190320
78,49529,195446
79,49529,207928
80,49529,209714
81,559,851
82,559,1453
83,559,1965
84,559,2038
85,559,3446
86,559,3986
87,559,4391
88,559,4959
89,559,5776
90,559,5789
91,559,5857
92,559,6062
93,559,8828
94,559,9663
95,559,9715
96,559,9748
97,38757,1562
98,38757,2343
99,38757,2673
100,38757,3205
101,38757,4344
102,38757,7376
103,38757,10336
104,38757,33787
105,38757,155658
106,38757,162219
107,38757,163545
108,38757,179411
109,38757,179431
110,38757,215258
111,38757,234183
112,99861,8828
113,99861,9663
114,99861,9715
115,99861,9717
116,99861,10629
117,99861,155030
118,99861,179431
119,99861,180547
120,99861,209714
121,767,616
122,767,2343
123,767,3872
124,767,3884
125,767,6333
126,767,10164
127,767,10791
128,767,12564
129,209112,849
130,209112,7002
131,209112,9715
132,209112,9717
